,title,company,description,location,jobID,jobType,salary,platform,posting_date
0,Senior Data Scientist,Targeted Talent,"We are looking for an experienced Senior Data Scientist for our client. This is a permanent position that is completely remote! Our client is a fintech company based out of Vancouver

You Have:
• 3 - 5+ Years experience working in Data Engineering/Data Science utilizing R (purrr, tidyr, dplyr, tibble, & the tidyverse)
• Strong analytical skills working with unstructured data sets
• Knowledge of relational (PostgreSQL, MySQL, etc.) and non-relational databases (including MongoDB)
• Strong experience with big data services like Spark, Kafka, Rabbit
• Experience working with Startups are considered a bonus
• Experience working with cloud services, specifically AWS are considered a bonus

Some AWESOME selling points:
• Remote + flexible work schedule
• North of six figures salary + Equity + Health Spending Account (it's competitive)
• Amazing opportunity for career progression to lead
• Amazing mentorship (seriously)
• Plenty of vacay
It's a seriously awesome opportunity! If this looks interesting to you, go ahead and click apply :)
• Unfortunately we are only able to consider candidates who either live in Canada, or currently have an active Canadian work visa or citizenship for this role","Winnipeg, MB",MNIkl-uh56xIAGKZAAAAAA%3D%3D,Full-time,null,ZipRecruiter,null
1,Data Scientist/analyst - Summer Internship (Engineering Operations),Standard Aero,"At StandardAero, we use our ingenuity and know-how to find solutions for the simple to the most complex challenges in Aviation.

Together, we get the job done and done well. At our Winnipeg Site , you will be trained by the world's best. Bring your mechanical aptitude, a strong work-ethic, and a hunger for learning - we'll teach you the rest.

What's it like at StandardAero

Collaboration, teamwork, and having each other's backs are the norm here. Our growth in this expanding industry means getting career stability and opportunities to grow.

With great resources, an inclusive atmosphere, and a culture based on shared values, we'll support you in building a solid career with a team you can count on.

StandardAero is seeking motivated, eager, and innovative students looking to join one of our Engineering / Operations Support Team for the 2024 summer term as a Data Scientist / Analyst .

As an intern at StandardAero, you will gain hands-on industry experience, learn from experts, and collaborate with our teams that raise the standard of excellence.

Join our team today and build an aviation career you're proud of!

Job Duties :

Students may be involved in one or many of the following :
• Review existing operations data, research open issues, and work with engineering and operations team with new and ongoing projects
• Support business unit operational improvement projects
• Perform data analysis on current key performance indicator (KPI). Identify opportunities for improvement. Work with the engineering and operations team to develop recommendations and an implementation plan
• Analyze data sets to spot trends and patterns that can be translated into actionable projects
• Participate in lean projects within the business unit (six sigma, kaizen)
• Carries out special projects for process improvements as assigned

Basic Qualifications (Required Skill / Experience) :
• 3rd or 4th year student of Business or Engineering program
• Good analytical, organizational, oral and written communication skills
• Desire and knowledge to work in a business environment
• Proficient in MS office environment
• Interest in Aerospace industry

Preferred Qualifications (Desired Skills / Experience) :
• Analytical skills and the ability to assess trends in a business environment
• A strong desire to learn and be a contributing member of a team
• Excellent verbal and communication Skills
• Ability to multitask and prioritize tasks in a high pace environment

What makes a good fit for StandardAero

We love people who take pride in their work and being collaborative with their team. We work together and support each other.

We're very team oriented too and that is greatly valued. We also believe in getting the job done, whatever it takes and that's a work-ethic that is often hard to describe.

We love that too it's what makes us great partners and teammates to each other. We are respectful of each other and who we are, and welcome people from all walks of life and give everyone open access to learn and build skills.

If this sounds like a great fit for you, we hope you apply and join us.

Inclusivity Is Our Standard

StandardAero offers equal employment opportunities for all. Our supportive environment celebrates diversity with no room for harassment or discrimination of any kind.

We invite you to be who you are and experience our welcoming culture.

Raising the Standard of Excellence since 1911

With over a century of proven excellence, StandardAero has become an industry leader in MRO services and customized solutions in the aerospace field.

Our shared values and learning-based culture inspire our team to exceed their potential and power our customers' missions worldwide.

With on-the-job training, advancement opportunities, and excellent benefits, StandardAero invites you to experience a fulfilling and meaningful career with us.

ABOUT US

When you work at StandardAero, you're not just an employee, you are part of a vibrant company of like-minded people, all working collaboratively towards the same goals.

We succeed as a team because we value the unique contributions and perspectives of all of our people, fostering a culture of collaboration and excellence.

It's a culture that promotes mutual respect and effective communications to create an environment of stability, shaping the organization and forging a successful future.

Our goal is to be the best place to work, giving each and every employee the opportunity to reach their maximum potential through continuous learning and advancement opportunities, allowing all team members to exceed their potential and empower everyone's success.

StandardAero is one of the world's largest independent providers of services, including engine and airframe maintenance, repair and overhaul, engine component repair, engineering services, interior completions and paint applications.

The company is a global enterprise that employs nearly 7,000 employees worldwide with annual revenues exceeding $4 billion.

StandardAero serves a diverse array of customers in business and general aviation, airline, military, helicopter, components and energy markets.

The company celebrated its 100th year of industry leadership in 2011.

StandardAero is owned by Carlyle, a global investment firm with deep industry expertise that deploys private capital across four business segments : Corporate Private Equity, Real Assets, Global Credit and Investment Solutions","Winnipeg, MB",ei_GtWxxoz-ikLDiAAAAAA%3D%3D,Full-time and Internship,null,Talent.com,null
2,Professional Intern – Data Science,Birchwood,"Professional Intern– Data Science at TSI Tech – Birchwood

Full-Time, Summer Internship Position

Start Date: April/May (Flexible), End Date: End of August

Posting Closing Date: March 31st, 2024

The Professional Intern – Data Science will be responsible for working with the Business Intelligence team using modern technology to analyze and report on operational and customer data with the goal of improving the customer experience and productivity of our operations. This role will report directly to the Director of Information Systems and IT Security.

Professional Interns have been an integral part of Birchwood for over 25 years. The professional intern program has evolved to include an immersive experience that focuses on personal and professional development. Our program is designed to create a network of empowered students who gain valuable skills while supporting Birchwood’s purpose. Our internship includes professional development workshops, unique social events, and an opportunity to network with our executive team.

At Birchwood, experience is everything, and we want you to be a part of our team.

Qualifications:
• Experience and training related to statistical analysis, database management, and algorithm/model development and training.
• Participating in a Post Secondary Co-op program, preferably in their third or fourth year of studies.
• Creative ability to conceptualize and articulate new approaches and solutions.
• Thrive in a collaborative environment where team support is encouraged.
• A commitment to learning and professional development.
• Comfortable leveraging technology for day-to-day functions.
• A valid class 5 driver’s licence and reliable transportation to work is required.

Birchwood is Manitoba’s largest automotive retailer. Our 24 franchises are in addition to three state-of-the-art collision repair centres and four Birchwood Credit Solutions locations. We offer sales, services, and parts to meet our customers’ automotive needs. We’re a recognized leader in the retail automotive industry, not only for our diverse workforce reflecting our community, but also for our unparalleled commitment to team members, customers, partners, and neighbourhoods. At Birchwood, our days begin and end with gratitude, personal leadership, trust, respect, continuous improvement, and generosity.

Birchwood is committed to creating a diverse workplace and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, colour, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status. Reasonable accommodation is available to applicants with disabilities upon request. Please email your request to: recruitment@birchwood.ca","Winnipeg, MB",vFo7Ujvpi_Im36bLAAAAAA%3D%3D,"Full-time, Contractor and Internship",null,Glassdoor,2024-02-17
3,"Data Analyst at Government of Manitoba Winnipeg, MB",Government of Manitoba,"Data Analyst job at Government of Manitoba. Winnipeg, MB.

Data Analyst

P5 Professional Officer 5

Regular/full-time

Manitoba Public Service Commission

Information Management Analytics, Strategy and Innovation

Winnipeg MB

Advertisement Number: 42289

Salary(s): P5 $68,806.00 - $83,407.00 per year

Closing Date: January 21, 2024

The Manitoba government recognizes the importance of building an exemplary public service reflective of the citizens it serves, where diverse abilities, backgrounds, cultures, identities, languages and perspectives drives a high standard of service and innovation. The Manitoba government supports equitable employment practices and promotes representation of designated groups (women, Indigenous people, persons with disabilities, visible minorities).

Employment Equity is a factor in selection for this competition. Consideration will be given to Indigenous people and persons with disabilities.

An eligibility list may be created for similar positions and will remain in effect for 12 months.

Introduction

The Strategy and Innovation Branch (SIB) supports the Public Service Commission’s (PSC) broader strategic and transformation agenda by providing central coordination of department change initiatives, including strategic and operational planning, project, project portfolio and change management services, as well as government-wide workforce analytics and reporting, and the development and implementation of evidence-based workforce legislation and policies. The Information Management Analytics (IMA) Unit is responsible for workforce data management, protection and quality assurance, surveying, analytics and statistical reporting, to support workforce planning, management, problem solving and decision-making.

The Manitoba government is recognized as one of the top employers within the province and provides a comprehensive compensation and benefits package for its employees which includes extended health care, health spending account, dental care, vision care, long term disability insurance, group life insurance, maternity/paternity and parental leave, family related leave and a defined pension plan. The Manitoba government is also committed to supporting the development of its employees through training and career development opportunities.

To be considered for this competition you must submit an application form. See below for further instructions.

Click here to access the application form.

Conditions of Employment:
• Must be legally entitled to work in Canada
• Must provide and maintain a satisfactory Criminal Record Check and enhanced security check.

Qualifications:

Essential:
• Post-Secondary education in Business Analytics, Computer Science, Statistics, Economics or any degree with quantitative and qualitative research focus or an equivalent combination of related training and experience.
• Ability to work with Big Data from multiple data sources and in different formats, recognize significant data, clean and combine data for statistical analysis and create report templates and graph analytics to present information effectively.
• Experience in quantitative research or evaluation projects.
• Experience with statistical analysis including designing and executing inferential analytics.
• Experience in statistical software and query languages (e.g. R, Python, SQL, Power BI, Tableu, SAP Hana).
• Advanced Microsoft Excel Skills, with the ability to use and create pivot tables, slicers, graphs, and statistical functions.
• Proven accuracy, thoroughness, and attention to detail, even when working on multiple data sets for multiple projects with tight deadlines.
• Strong oral communication skills with experience communicating scientific knowledge, information, and research to diverse audiences in non-technical language.
• Strong written communication skills to convey and produce complex materials for a variety of audiences, including the use of data visualization.
Desired:
• Knowledge and understanding of legislation and policies related to privacy and protection of personal information.
• Knowledge and understanding data quality assurance principles.

Duties:

Under general direction of the Manager of IMA, the Data Analyst is responsible in providing assistance to the Data Scientist in accessing and analyzing workforce data to support the development, implementation, reporting and evaluation of programs and tools that enable workforce surveying, planning, and decision-making.

Apply Now:

Advertisement # 42289

PSC HRO

Human Resource Services

608-330 Portage Avenue

Winnipeg MB, R3C 0C4

Phone: 204-945-6892

Fax: 204-945-0601

Email: pscjobs@gov.mb.ca

To be considered for this competition you must submit an application form. Complete the application form at the link below or contact Human Resource Services under “Apply to” to request a copy of the application form. The selection board will rely only on information provided in this form to determine whether a candidate will be invited for further assessment. Note: You are not required to submit a cover letter, but may be asked to submit a resume, references, or other documentation at a later point if invited for further consideration.

Click here to access the application form.

Applicants may request reasonable accommodation related to the materials or activities used throughout the selection process. When applying to this position, please indicate the advertisement number and position title in the subject line and/or body of your email. Your cover letter, resumé and/or application must clearly indicate how you meet the qualifications","Winnipeg, MB",pGi7mQSyoTM0rLEwAAAAAA%3D%3D,Full-time,null,Skye Backpackers,null
4,Data Analyst - Working From Home,Peroptyx,"At Peroptyx, we are looking for Data Analysts who will review mapping data for digital mapping applications.

Your research capabilities will validate and ensure that the navigation of certain routes are accurate and safe. As part of this role you will verify that business names and opening hours are correct.

You will check that the distance from a starting point to an end destination is listed accurately resulting in better user experiences.

With this job you can plan your days around this highly flexible working schedule, work weekends or late evenings, all from the comfort of your own office.

The flexibility of our roles minimizes the impact on your daily routine.

So, whether you are a student looking to earn as you learn, a retiree looking for a new challenge a part-time / full time professional or a work from home parent, Peroptyx has the right role for you!

Ideal Candidate
• Fluent in English.
• Excellent research skills.
• Excellent local knowledge of your home country.
• Good understanding and general knowledge of the geography and culture of Canada.
• Analytical mindset.

Job Requirements
• You must be living in the Canada for a minimum of 5 consecutive years so that you are familiar with your local geography.
• Must pass an online open-book exam that can verify your full understanding of the material and concepts.
• Must be willing to work a minimum of 10 hours and up to 20 hours per week depending on task availability.
• Good working knowledge of search engines, map applications and familiarity with social media platforms.
• Strong ability to learn, understand and apply multiple sets of different instructions.
• All work must be of an independent nature.

Technical requirements to perform the work
• Access to a laptop or computer which uses :
• A log on account unique to you
• Anti-virus solution that is kept up to date, with regular scans performed
• Only one member per household may apply

NB. All products should be provided at your own expense.

Benefits
• Work up to 20 hours per week.
• Earn a competitive rate of pay.
• Develop your research skills.
• Avoid the long commute.
• Work from the comfort of your home office.
• Enjoy the flexibility of setting your own working hours!

Apply Online Today!

This is a freelance, independent contractor position

Additional information :

Frequency : Per hour

Remote Job : Fully in-person

Employment type : Part-time","Winnipeg, MB",em-fX5PDOC2EmphNAAAAAA%3D%3D,Full-time,null,Talent.com,null
5,Senior Data Analyst,Wawanesa Insurance,"Job ID: 7737

Working Business Language: This role is considered a head-office role and will be required to communicate with internal stakeholders across Canada where the primary business language utilized is English.

Salary: At Wawanesa, salary is only one component of a holistic, comprehensive and competitive offering that we provide to our employees. In addition to salary, full-time and part-time permanent employees are eligible for an annual bonus plan, leave of absence top-up programs and provided with generous vacation time, personal days, premium free benefits and pension plan.

The salary offered for this role is determined with consideration to various factors, including but not limited to: your work location, local labour market conditions, external market salary data, internal pay equity and the knowledge, skills, experience and anticipated proficiency in the role. The salary offered is estimated to be within the following range: $90, 00- $115, 000. Candidates with salary expectations outside of the range are still encouraged to apply.

About Us

At Wawanesa, we’re proud to offer a hybrid work environment that offers flexibility to our employees in balancing in-office (2 days per week OR 15 hours per week in a Wawanesa office) and remote work. You may work from any of the following locations: Winnipeg, MB; Wawanesa, MB; Vancouver, BC; Calgary, AB; Edmonton, AB; Lethbridge, AB;Toronto, ON; Kitchener, ON; Thunder Bay, ON; Ottawa, ON; Montreal, QC; Moncton, NB; Dartmouth; NS

The Wawanesa Mutual Insurance Company, founded in 1896, is one of Canada’s largest mutual insurers, with over $4 billion in annual revenue and assets of $12 billion. Wawanesa Mutual, with executive offices in Winnipeg, is the parent company of Wawanesa General, which offers property and casualty insurance in California and Oregon; Wawanesa Life, which provides life insurance products and services throughout Canada; and Western Financial Group, which distributes personal and business insurance across Canada. Wawanesa proudly serves more than two million members in Canada and the United States. Wawanesa actively gives back to organizations that strengthen communities where it operates, donating well above internationally recognized benchmarks for excellence in corporate philanthropy. Learn more at wawanesa.com.

We are currently looking for dedicated, driven, and enthusiastic individuals who thrive in an environment that welcomes change and are looking for an opportunity for diverse experience and advancement on a growing team.

Job Overview

We are looking for a Senior Data Analyst with deep analytical and technical expertise in driving data-driven solutions by querying, analyzing, profiling, and curating data sets. This individual will directly work with our Enterprise Data Warehouse, our ETL & data streaming processes, and complex data models from source systems such as our Guidewire Insurance Suite system. The ideal candidate will possess a strong analytical mindset, excellent communication and collaboration skills, and an understanding of insurance products and operations.

The Analyst will be part of our data delivery team and contribute by designing, documenting, testing, and supporting our data pipelines and repositories to meet business stakeholder reporting and data consumption requirements.

Job Responsibilities
• Collaborate with cross-functional teams to identify and prioritize data consumption needs.
• Collect, analyze, and cleanse datasets to extract patterns, insights, and trends.
• Develop and enhance curated data sets to support underwriting, actuarial, and risk management strategies.
• Conduct ad-hoc data analysis to address specific business questions, challenges, or data quality issues.
• Assist Data Architects and Data Modelers in authoring diagrams and models.
• Perform impact assessments of upstream data system changes and enhancements. This includes high-level estimating and work breakdowns to respond to data changes.
• Facilitate data and reporting requirements sessions to flush out detailed data provisioning requirements and scope of work.
• Develops and advises on best practices for business stakeholders, including consultations on data management and reporting explorations.
• Stay current with industry trends and best practices in data management, data analytics and insurance.

Qualifications
• Degree or certificate in Computer Science, Statistics, Mathematics, or a related field.
• 4 or more years of experience as a Data Analyst, preferably in the insurance industry.
• Highly proficient in SQL including complex joins and query performance optimization techniques.
• Able to identify, validate, document, and determine root cause of Data Quality issues.
• Deep understanding of data profiling techniques to analyze, identify, and document data patterns and anomalies.
• Knowledgeable in various data file structures and format such as Excel, CSV, JSON, XML, Parquet, and database tables.
• Able to evaluate and design logical and physical data models including various data types and relationships between entities.
• Deep understanding of data lineage and data transformation rules, and therefore able to perform data change impact assessments.
• Understanding of dimensional models and related modeling techniques such as Kimball Data Warehousing/Business Intelligence techniques.
• Able to author and evaluate data-driven test cases.
• Experience in other data analysis processing languages such as Python or R would be an asset.
• Proficiency with MicroStrategy, Power BI, or other similar visualization and reporting tools would be an asset.
• Knowledge of AWS and its various tools & services (Redshift, Aurora PostgreSQL, DMS) would be an asset.
• Knowledge of Guidewire Insurance Suite and its data model would be an asset.
• Experience in Jira and Confluence would be an asset.
• Experienced in Data Governance and Stewardship would be an asset.

Wawanesa is proud to be one of Manitoba's Top Employers for 2023 recognizing that we are an exceptional place to work!

Diversity, Equity & Inclusion 

Wawanesa is an equal opportunity employer and is committed to fostering a diverse workforce that is equitable and inclusive for all. Wawanesa provides equal employment opportunity to all employees and applicants without regard to an individual’s protected status: race/ethnicity, colour, religion, creed, sex or gender, sexual orientation, gender identity or expression, family or marital status, pregnancy/childbirth or related conditions, national origin, disability, military or veteran status, or any other protected status. Disability or medical-related accommodations are available upon request throughout all aspects of the recruitment and selection process. Candidates requiring reasonable accommodations may contact, in confidence, jobs@wawanesa.com.  

If you are interested in this exciting, challenging position with Wawanesa, apply today with your Resume.

All Wawanesa job applicants are subject to Wawanesa's Privacy Policy","Winnipeg, MB",RviBwUE9_w6i8QODAAAAAA%3D%3D,Full-time and Part-time,null,LinkedIn,2024-03-06
6,database analyst Verified,Fairysun Systems Inc.,"Education: Bachelor's degree. Tasks: Collect and document user's requirements. Data Science. Design and develop database. Design, construct, modify, implement and test data models and database management systems. Conduct research and provide advice to other informatics professionals regarding the selection application and implementation of database management tools. Operate database management systems to analyze data. Develop and implement data administration policy, standards and models. Research and document data requirements, data collection and administration policy, and data access rules. Develop policies and procedures for network access and usage and for the backup and recovery of data. Conduct research and provide advice to other information systems professionals regarding the collection, availability and suitability of data. Lead and co-ordinate teams of data administrators in the development and implementation of data policies, standards and models. Write scripts related to stored procedures and triggers. Personal suitability: Accurate. Client focus. Efficient interpersonal skills. Excellent oral communication. Excellent written communication. Initiative. Organized. Experience: 1 year to less than 2 years","Winnipeg, MB",sN1n9Een8_NZfz0LAAAAAA%3D%3D,Full-time,null,Job Bank,2024-02-15
7,"Data Analyst, Winnipeg",Ellement Consulting Group,"Ellement is seeking a skilled Data Analyst to join our Data Analysis team. The successful candidate will possess a solid technical foundation in data warehousing, ETL processes, and will be adept in Python, Airflow, DAGs, R language, and SQL. This role entails ensuring the accuracy, quality, and accessibility of member and system data by developing and maintaining efficient data pipelines and architecture, in support of our SaaS products for pension, health and wellness benefits management. Key Responsibilities: Data Management and ETL Processes: Develop, construct, test, and maintain architectures such as databases and processing systems. Design and implement optimal data pipeline architecture using Airflow and DAGs. Facilitate ETL processes to migrate data between systems, ensuring its accuracy and availability for analytics. Data Cleansing and Preparation: Cleanse and validate data to ensure accuracy, completeness, and quality. Prepare data for descriptive and analytical modelling using Python and R language. Reporting and Data Analysis: Build customised reports and dashboards to present financial data in a clear and meaningful manner. Utilise SQL for data analysis to support informed decision-making processes. Data Warehousing: Manage and enhance data warehouse solutions, ensuring data integrity and accessibility. Collaborate with stakeholders to understand and meet data warehousing requirements and ensure alignment with organisational objectives. Qualifications and Experience: Bachelor’s degree in Computer Science, Information Systems, Statistics or a related field. 2+ years of experience in data engineering, data warehousing, or a similar role. Proficient in Python, Airflow, SQL, and R language. Experience with DAGs, ETL processes, and financial data is an asset. Strong analytical and problem-solving skills. Excellent communication skills with the ability to work effectively in a collaborative team environment. Located in Winnipeg and able to work in a hybrid environment. Ellement is committed to fostering a dynamic and inclusive workplace. We offer competitive salary packages and career development opportunities. If you are looking to challenge yourself and make a positive impact through our SaaS solutions, we invite you to apply","Winnipeg, MB",8_MT0lTPHvlFxsv1AAAAAA%3D%3D,Full-time,null,- The Offergram,null
8,Senior AI/Data Science Specialist to develop a solution based on the...,confidential,"Contract: 6 months + potential 6 months extension

Remote (might be asked to go on site in Pickering once-twice during the contract)

Must Haves:
• 5+ years of experience in AI/Data Science
• Convolutional Neural Networks experience","Winnipeg, MB",LDthErlhFvy1MRNPAAAAAA%3D%3D,Temp work,null,Jooble,null
9,Data Analyst - Working From Home,Peroptyx,"At Peroptyx, we are looking for Data Analysts who will review mapping data for digital mapping applications.

Your research capabilities will validate and ensure that the navigation of certain routes are accurate and safe. As part of this role you will verify that business names and opening hours are correct.

You will check that the distance from a starting point to an end destination is listed accurately resulting in better user experiences.

With this job you can plan your days around this highly flexible working schedule, work weekends or late evenings, all from the comfort of your own office.

The flexibility of our roles minimizes the impact on your daily routine.

So, whether you are a student looking to earn as you learn, a retiree looking for a new challenge a part-time / full time professional or a work from home parent, Peroptyx has the right role for you!

Ideal Candidate
• Fluent in English.
• Excellent research skills.
• Excellent local knowledge of your home country.
• Good understanding and general knowledge of the geography and culture of Canada.
• Analytical mindset.

Job Requirements
• You must be living in the Canada for a minimum of 5 consecutive years so that you are familiar with your local geography.
• Must pass an online open-book exam that can verify your full understanding of the material and concepts.
• Must be willing to work a minimum of 10 hours and up to 20 hours per week depending on task availability.
• Good working knowledge of search engines, map applications and familiarity with social media platforms.
• Strong ability to learn, understand and apply multiple sets of different instructions.
• All work must be of an independent nature.

Technical requirements to perform the work
• Access to a laptop or computer which uses :
• A log on account unique to you
• Anti-virus solution that is kept up to date, with regular scans performed
• Only one member per household may apply

NB. All products should be provided at your own expense.

Benefits
• Work up to 20 hours per week.
• Earn a competitive rate of pay.
• Develop your research skills.
• Avoid the long commute.
• Work from the comfort of your home office.
• Enjoy the flexibility of setting your own working hours!

Apply Online Today!

This is a freelance, independent contractor position

Additional information :

Frequency : Per hour

Remote Job : Fully in-person

Employment type : Part-time","Winnipeg, MB",em-fX5PDOC2EmphNAAAAAA%3D%3D,Full-time,null,Talent.com,null
